thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
24,0,24,[0.046875],[0.020833333333333332],[1],[0],[0],[1.6581448999932036],['target'],24,0,24,0,38.394494400010444,,5,38.375225400028285,38.394494400010444,38.394494400010444,0.040770100022200495,39.39922860002844,40.03395570005523,[0.046875],[0.020833333333333332],[1],[0],[0],[1.6581448999932036],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
25,0,25,[-0.1328125],[-0.3802083333333333],[1],[0],[0],[1.6337207999895327],['target'],25,0,25,0,40.12768890004372,,10,40.09988740005065,40.12768890004372,40.12768890004372,0.06570679997093976,41.13118210004177,41.734049000020605,[-0.1328125],[-0.3802083333333333],[1],[0],[0],[1.6337207999895327],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
26,0,26,[-0.23697916666666666],[0.4244791666666667],[1],[0],[0],[1.2087122999946587],['target'],26,0,26,0,41.838583200005814,,10,41.80816870002309,41.838583200005814,41.838583200005814,0.07377769995946437,42.84775980003178,43.01812860002974,[-0.23697916666666666],[0.4244791666666667],[1],[0],[0],[1.2087122999946587],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
27,0,27,[-0.2578125],[0.17317708333333334],[1],[0],[0],[1.3409607000066899],['target'],27,0,27,0,43.078278700006194,,5,43.05938180000521,43.078278700006194,43.078278700006194,0.040935900004114956,44.081193000019994,44.40081400005147,[-0.2578125],[0.17317708333333334],[1],[0],[0],[1.3409607000066899],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
28,0,28,[-0.2942708333333333],[0.1171875],[1],[0],[0],[1.0085811999742873],['target'],28,0,28,0,44.50147400004789,,10,44.47446920000948,44.50147400004789,44.50147400004789,0.07345000002533197,,45.483435400004964,[-0.2942708333333333],[0.1171875],[1],[0],[0],[1.0085811999742873],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
29,0,29,[-0.4296875],[-0.3229166666666667],[1],[0],[0],[1.204540900012944],['target'],29,0,29,0,45.54303890001029,,5,45.52849910000805,45.54303890001029,45.54303890001029,0.044765800004824996,46.547611900023185,46.73348920000717,[-0.4296875],[-0.3229166666666667],[1],[0],[0],[1.204540900012944],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
30,0,30,[0.3046875],[0.1484375],[1],[0],[0],[1.7359624999808148],['target'],30,0,30,0,46.78009330003988,,5,46.76372840005206,46.78009330003988,46.78009330003988,0.030032899987418205,47.78124870004831,48.50028180005029,[0.3046875],[0.1484375],[1],[0],[0],[1.7359624999808148],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
31,0,31,[0.0390625],[0.109375],[1],[0],[0],[1.188696799974423],['target'],31,0,31,0,48.591579800006,,10,48.56108250003308,48.591579800006,48.591579800006,0.06057139998301864,49.59752240002854,49.75035630003549,[0.0390625],[0.109375],[1],[0],[0],[1.188696799974423],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
32,0,32,[-0.2265625],[-0.17447916666666666],[1],[0],[0],[1.2694550000014715],[None],32,0,32,0,49.843975500029046,,10,49.81365710002137,49.843975500029046,49.843975500029046,0.06301490002078936,50.847453200025484,51.08376120001776,[-0.2265625],[-0.17447916666666666],[1],[0],[0],[1.2694550000014715],[None],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
33,0,33,[-0.22265625],[-0.296875],[1],[0],[0],[1.7008058999781497],['target'],33,0,33,0,51.176411500026006,,10,51.14939490001416,51.176411500026006,51.176411500026006,0.06534349999856204,52.18165140005294,52.85089830000652,[-0.22265625],[-0.296875],[1],[0],[0],[1.7008058999781497],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
34,0,34,[0.1015625],[0.4973958333333333],[1],[0],[0],[2.643325300014112],['target'],34,0,34,0,52.95361310004955,,10,52.923458500008564,52.95361310004955,52.95361310004955,0.07225299999117851,53.964145600039046,55.567567600053735,[0.1015625],[0.4973958333333333],[1],[0],[0],[2.643325300014112],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
35,0,35,[0.26953125],[0.2265625],[1],[0],[0],[1.588019099959638],['target'],35,0,35,0,55.62786520004738,,5,55.61194490001071,55.62786520004738,55.62786520004738,0.04405859997496009,56.63046800001757,57.20055600005435,[0.26953125],[0.2265625],[1],[0],[0],[1.588019099959638],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
36,0,36,[0.125],[0.09375],[1],[0],[0],[1.1923113000229932],['target'],36,0,36,0,57.29983270005323,,10,57.27391860005446,57.29983270005323,57.29983270005323,0.07315240002935752,58.313646399998106,58.466680100013036,[0.125],[0.09375],[1],[0],[0],[1.1923113000229932],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
37,0,37,[-0.02734375],[0.2760416666666667],[1],[0],[0],[1.3591901000472717],['target'],37,0,37,0,58.56675170001108,,10,58.540563600021414,58.56675170001108,58.56675170001108,0.07358389999717474,59.580371500051115,59.90041050000582,[-0.02734375],[0.2760416666666667],[1],[0],[0],[1.3591901000472717],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
38,0,38,[-0.3619791666666667],[0.16796875],[1],[0],[0],[1.6500090999761596],['target'],38,0,38,0,59.95035270001972,,5,59.93317460000981,59.95035270001972,59.95035270001972,0.03247089998330921,60.96498990000691,61.583739800029434,[-0.3619791666666667],[0.16796875],[1],[0],[0],[1.6500090999761596],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
39,0,39,[-0.23697916666666666],[-0.08333333333333333],[1],[0],[0],[1.249434099998325],['target'],39,0,39,0,61.6278358999989,,5,61.610857899999246,61.6278358999989,61.6278358999989,0.02689570002257824,62.63143340003444,62.879985000006855,[-0.23697916666666666],[-0.08333333333333333],[1],[0],[0],[1.249434099998325],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
