key_resp.corr,key_resp.rt,,,,,seqRT,ranRT,,,,,
1,1.1738784,,,,,,,,,,,
1,1.0405648,,,,,,,,,,,
1,0.8684546,,,,,,,,,,,
1,0.8368426,,,,,,,,,,,
1,0.5981062,,,,,,,,,,,
1,1.1648235,,,,,,,,,,,
1,0.8646886,,,,,,,,,,,
1,1.1959789,,,,,,,,,,,
1,0.7888969,,,,,,,,,,,
1,1.8595237,,,,,,,,,,,
1,0.5273199,,,,,,,,,,,
1,0.8813521,,,,,,,,,,,
1,0.6766256,,,,,,,,,,,
1,0.8162223,,,,,,,,,,,
1,1.2316088,,,,,,,,,,,
1,0.8308008,,,,,,,,,,,
1,0.6393685,,,,,,,,,,,
1,1.1941236,,,,,,,,,,,
1,1.0225506,,,,,,,,,,,
1,0.7748817,,,,,,,,,,,
1,0.6053991,,,,,,,,,,,
1,0.824997,,,,,,,,,,,
1,1.2883097,,,,,,,,,,,
1,0.514829,,,,,,,,,,,
1,0.652742,,,,,,,,,,,
1,0.6816294,,,,,,,,,,,
1,0.7748511,,,,,,,,,,,
1,0.8834957,,,,,,,,,,,
1,2.2337817,,,,,,,,,,,
1,1.3666014,,,,,,,,,,,
1,0.5485942,,,,,,,,,,,
1,1.0696863,,,,,,,,,,,
1,0.9624947,,,,,,,,,,,
1,0.7016044,,,,,,,,,,,
1,0.8861929,,,,,,,,,,,
1,0.8819231,,,,,,,,,,,
1,0.7712373,,,,,,,,,,,
1,1.236397,,,,,,,,,,,
1,2.1436299,,,,,,,,,,,
1,0.8481998,,,,,,,,,,,
1,0.5756093,,,,,,,,,,,
1,1.0612073,,,,,,,,,,,
1,0.9255629,,,,,,,,,,,
1,0.9261898,,,,,,,,,,,
1,1.0098799,,,,,,,,,,,
1,1.0449742,,,,,,,,,,,
1,0.5578453,,,,,,,,,,,
1,0.9430319,,,,,,,,,,,
1,1.194015,,,,,,,,,,,
1,0.8456162,,,,,,,,,,,
1,1.5076181,,,,,,,,,,,
1,0.8866153,,,,,,,,,,,
1,1.0338868,,,,,,,,,,,
1,0.5737861,,,,,,,,,,,
1,1.1858278,,,,,,,,,,,
1,0.7617638,,,,,,,,,,,
1,0.4912756,,,,,,,,,,,
1,2.677609,,,,,,,,,,,
1,1.0525091,,,,,,,,,,,
1,0.849343,,,,,,,,,,,
1,1.0412635,,,,,,,,,,,
1,0.8914641,,,,,,,,,,,
1,1.5352308,,,,,,,,,,,
1,0.8728977,,,,,,,,,,,
1,0.6482273,,,,,,,,,,,
1,1.7777286,,,,,,,,,,,
1,1.2990598,,,,,,,,,,,
1,0.5766079,,,,,,,,,,,
1,2.0174189,,,,,,,,,,,
1,0.7468221,,,,,,,,,,,
1,0.5050109,,,,,,,,,,,
1,1.0400973,,,,,,,,,,,
1,0.8850762,,,,,,,,,,,
1,1.1931973,,,,,,,,,,,
1,1.431563,,,,,,,,,,,
1,0.9441001,,,,,,,,,,,
1,0.8000878,,,,,,,,,,,
1,0.8534308,,,,,,,,,,,
1,0.9529922,,,,,,,,,,,
1,1.7782654,,,,,,,,,,,
1,1.407845,,,,,,,,,,,
1,1.3756411,,,,,,,,,,,
1,0.7905593,,,,,,,,,,,
1,1.1095032,,,,,,,,,,,
1,1.2495101,,,,,,,,,,,
