delay,,,,,,condition,,,,,key_resp.rt,,,,,,,,
0.4,,,,,,exp,,,,,0.4938383,,,,,,,,
0.4,,,,,,exp,,,,,0.310837,,,,,,,,
0.4,,,,,,exp,,,,,0.8418017,,,,,,,,
0.4,,,,,,exp,,,,,0.3659049,,,,,,,,
0.4,,,,,,exp,,,,,0.5444754,,,,,,,,
0.4,,,,,,exp,,,,,0.3102235,,,,,,,,
0.4,,,,,,exp,,,,,0.5274712,,,,,,,,
0.4,,,,,,exp,,,,,0.5884069,,,,,,,,
0.4,,,,,,exp,,,,,0.4258449,,,,,,,,
0.4,,,,,,exp,,,,,0.3479068,,,,,,,,
0.4,,,,,,exp,,,,,0.2715399,,,,,,,,
0.4,,,,,,exp,,,,,1.3199347,,,,,,,,
0.4,,,,,,exp,,,,,0.7036342,,,,,,,,
0.4,,,,,,exp,,,,,11.8746128,,,,,,,,
0.4,,,,,,exp,,,,,3.111363,,,,,,,,
0.4,,,,,,exp,,,,,0.3247491,,,,,,,,
0.4,,,,,,exp,,,,,0.4845517,,,,,,,,
0.4,,,,,,exp,,,,,0.6614038,,,,,,,,
0.4,,,,,,exp,,,,,0.2812456,,,,,,,,
0.4,,,,,,exp,,,,,0.6456779,,,,,,,,
0.4,,,,,,exp,,,,,0.2898202,,,,,,,,
0.4,,,,,,exp,,,,,0.3101228,,,,,,,,
0.4,,,,,,exp,,,,,0.3176466,,,,,,,,
0.4,,,,,,exp,,,,,0.2924411,,,,,,,,
0.4,,,,,,exp,,,,,0.3295433,,,,,,,,
0.4,,,,,,exp,,,,,0.6155605,,,,,,,,
0.4,,,,,,exp,,,,,0.3062228,,,,,,,,
0.4,,,,,,exp,,,,,0.284149,,,,,,,,
0.4,,,,,,exp,,,,,0.4101487,,,,,,,,
0.4,,,,,,exp,,,,,0.8247811,,,,,,,,
0.4,,,,,,exp,,,,,0.6832518,,,,,,,,
0.4,,,,,,exp,,,,,3.4513437,,,,,,,,
